role,stat,tier,bin_lo,bin_hi,count,density,scale,note
H,k_pct,marcel,0.0,0.1,113,0.0837037037037037,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.1,0.2,158,0.11703703703703704,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.2,0.3,154,0.11407407407407408,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.3,0.4,146,0.10814814814814815,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.4,0.5,124,0.09185185185185185,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.5,0.6,136,0.10074074074074074,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.6,0.7,123,0.09111111111111111,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.7,0.8,133,0.09851851851851852,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.8,0.9,111,0.08222222222222222,0.036339414521792575,normal approx from pooled residuals
H,k_pct,marcel,0.9,1.0,152,0.11259259259259259,0.036339414521792575,normal approx from pooled residuals
H,bb_pct,marcel,0.0,0.1,172,0.1274074074074074,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.1,0.2,152,0.11259259259259259,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.2,0.3,170,0.1259259259259259,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.3,0.4,149,0.11037037037037037,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.4,0.5,136,0.10074074074074074,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.5,0.6,131,0.09703703703703703,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.6,0.7,117,0.08666666666666667,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.7,0.8,111,0.08222222222222222,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.8,0.9,102,0.07555555555555556,0.019889156967623427,normal approx from pooled residuals
H,bb_pct,marcel,0.9,1.0,110,0.08148148148148149,0.019889156967623427,normal approx from pooled residuals
H,hr_pct,marcel,0.0,0.1,183,0.13555555555555557,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.1,0.2,211,0.1562962962962963,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.2,0.3,159,0.11777777777777777,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.3,0.4,174,0.1288888888888889,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.4,0.5,125,0.09259259259259259,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.5,0.6,114,0.08444444444444445,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.6,0.7,97,0.07185185185185185,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.7,0.8,106,0.07851851851851852,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.8,0.9,80,0.05925925925925926,0.012431417179712297,normal approx from pooled residuals
H,hr_pct,marcel,0.9,1.0,101,0.07481481481481482,0.012431417179712297,normal approx from pooled residuals
H,babip,marcel,0.0,0.1,174,0.1288888888888889,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.1,0.2,155,0.11481481481481481,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.2,0.3,168,0.12444444444444444,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.3,0.4,132,0.09777777777777778,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.4,0.5,151,0.11185185185185186,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.5,0.6,136,0.10074074074074074,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.6,0.7,112,0.08296296296296296,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.7,0.8,94,0.06962962962962962,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.8,0.9,129,0.09555555555555556,0.03317742167535376,normal approx from pooled residuals
H,babip,marcel,0.9,1.0,99,0.07333333333333333,0.03317742167535376,normal approx from pooled residuals
H,woba,marcel,0.0,0.1,223,0.16518518518518518,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.1,0.2,182,0.1348148148148148,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.2,0.3,164,0.12148148148148148,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.3,0.4,159,0.11777777777777777,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.4,0.5,136,0.10074074074074074,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.5,0.6,120,0.08888888888888889,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.6,0.7,108,0.08,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.7,0.8,97,0.07185185185185185,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.8,0.9,84,0.06222222222222222,0.03340334642566125,normal approx from pooled residuals
H,woba,marcel,0.9,1.0,77,0.05703703703703704,0.03340334642566125,normal approx from pooled residuals
P,k_pct,marcel,0.0,0.1,143,0.10833333333333334,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.1,0.2,128,0.09696969696969697,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.2,0.3,136,0.10303030303030303,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.3,0.4,156,0.11818181818181818,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.4,0.5,138,0.10454545454545454,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.5,0.6,117,0.08863636363636364,0.04008783877309456,normal approx from pooled residuals
P,k_pct,marcel,0.6,0.7,117,0.08863636363636364,0.04008783877309456,normal approx from pooled residuals
