target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,H,marcel,woba,641355,Cody Bellinger,25.0,241.0,348.0,0.37755118041364966,0.23684770114942527,,
2021,H,marcel,woba,598265,Jackie Bradley Jr.,31.0,216.0,428.0,0.3213304367452249,0.2240420560747664,,
2021,H,marcel,woba,621311,David Dahl,27.0,99.0,219.0,0.3389022062141584,0.2463196347031963,,
2021,H,marcel,woba,621439,Byron Buxton,27.0,135.0,254.0,0.32814506183748393,0.4188858267716536,,
2021,H,marcel,woba,643524,Frank Schwindel,29.0,0.0,257.0,0.3170919898994081,0.40308171206225685,,
2021,H,marcel,woba,572287,Mike Zunino,30.0,84.0,375.0,0.28043124874614067,0.35857333333333336,,
2021,H,marcel,woba,543685,Anthony Rendon,31.0,230.0,247.0,0.38584750054277045,0.3101255060728745,,
2021,H,marcel,woba,543063,Brandon Crawford,34.0,191.0,543.0,0.30156483403769496,0.3771915285451196,,
2021,H,marcel,woba,650489,Willi Castro,24.0,139.0,446.0,0.3452856639672222,0.27067264573991023,,
2021,H,marcel,woba,592885,Christian Yelich,29.0,245.0,470.0,0.39863867295551253,0.324668085106383,,
2021,H,marcel,woba,664057,Andrew Stevenson,27.0,47.0,209.0,0.348586258270472,0.2761531100478468,,
2021,H,marcel,woba,665489,Vladimir Guerrero Jr.,22.0,242.0,691.0,0.3471125057252093,0.41912011577424013,,
2021,H,marcel,woba,642086,Dominic Smith,26.0,199.0,491.0,0.3626538734507893,0.2907067209775967,,
2021,H,marcel,woba,664761,Alec Bohm,24.0,180.0,417.0,0.35626527990682894,0.28504316546762587,,
2021,H,marcel,woba,605421,Michael Pérez,28.0,93.0,230.0,0.29619848615509453,0.22503913043478257,,
2021,H,marcel,woba,474832,Brandon Belt,33.0,178.0,378.0,0.33601964548040125,0.40634126984126984,,
2021,H,marcel,woba,663647,Ke'Bryan Hayes,24.0,93.0,396.0,0.3712924851677723,0.3013308080808081,,
2021,H,marcel,woba,673357,Luis Robert Jr.,23.0,225.0,295.0,0.32967797179885044,0.3989559322033898,,
2021,H,marcel,woba,542303,Marcell Ozuna,30.0,264.0,208.0,0.3532730144326898,0.2841538461538461,,
2021,H,marcel,woba,656775,Cedric Mullins,26.0,149.0,670.0,0.3029305557335318,0.37174477611940304,,
2021,H,marcel,woba,641933,Tyler O'Neill,26.0,157.0,537.0,0.31528434595755417,0.3838957169459963,,
2021,H,marcel,woba,457763,Buster Posey,34.0,0.0,449.0,0.31098928832742423,0.37894654788418713,,
2021,H,marcel,woba,621028,Kevin Newman,27.0,171.0,545.0,0.3165656652484502,0.2492954128440367,,
2021,H,marcel,woba,643446,Jeff McNeil,29.0,207.0,426.0,0.36616410864934845,0.30054694835680745,,
2021,H,marcel,woba,642162,Pat Valaika,28.0,149.0,280.0,0.3021272805364315,0.2384571428571429,,
